id,name,names,external_ids,website,wikipedia
33,Saint Petersburg State University,"{""ru"":""Санкт-Петербургский государственный университет"",""es"":""Universidad Estatal de San Petersburgo"",""zh"":""圣彼得堡国立大学"",""ar"":""جامعة سان بطرسبرغ الحكومية"",""fr"":""Université d'État de Saint-Pétersbourg"",""de"":""Saint Petersburg State University"",""ja"":""サンクトペテルブルク大学"",""ko"":""상트페테르부르크 국립대학교"",""pt"":""Universidade Estatal de São Petersburgo""}","{""ISNI"":""0000 0001 2289 6897"",""FundRef"":""501100004285"",""OrgRef"":""649879"",""Wikidata"":""Q27621""}",http://spbu.ru,http://en.wikipedia.org/wiki/Saint_Petersburg_State_University
34,Heidelberg University,"{""ru"":""Гейдельбергский университет"",""es"":""Universidad de Heidelberg"",""zh"":""海德堡大学"",""ar"":""جامعة هايدلبرغ"",""fr"":""Université de Heidelberg"",""de"":""Universität Heidel­berg"",""ja"":""ハイデルベルク大学"",""ko"":""하이델베르크 대학교"",""pt"":""Universidade de Heidelberg""}","{""ISNI"":""0000 0001 2190 4373"",""FundRef"":""501100005858 "",""OrgRef"":""17973922"",""Wikidata"":""Q151510""}",http://www.uni-heidelberg.de,http://en.wikipedia.org/wiki/Heidelberg_University
35,Ecole Normale Superieure  Paris,"{""ru"":""Высшая нормальная школа, Париж"",""es"":""Escuela Normal Superior de Paris"",""zh"":""巴黎高等师范学校"",""ar"":""مدرسة المعلمين العليا - باريس"",""fr"":""École normale supérieure-Paris"",""de"":""Ecole Normale Superieure - Paris"",""ja"":""高等師範学校(フランス)"",""ko"":""파리 고등사범학교"",""pt"":""Escola Normal Superior de Paris""}",,http://www.ens.fr,http://en.wikipedia.org/wiki/École_Normale_Supérieure‎
36,Russian Presidential Academy of National Economy and Public Administration,,,http://www.ranepa.ru,https://ru.wikipedia.org/wiki/Российская_академия_государственной_службы
37,University of Mumbai,"{""te"":""ముంబయి విశ్వవిద్యాలయం"",""ta"":""மும்பை பல்கலைக்கழகம்"",""hi"":""मुंबई विश्वविद्यालय"",""fr"":""Université de mumbai""}","{""ISNI"":""0000 0001 0668 0201"",""OrgRef"":""1577285"",""Wikidata"":""Q406402""}",http://www.mu.ac.in,http://en.wikipedia.org/wiki/University_of_Mumbai
38,Peking University,"{""ru"":""Пекинский университет"",""es"":""Universidad de Pekín"",""zh"":""北京大学"",""ar"":""جامعة بكين"",""fr"":""Université de Pékin"",""de"":""Peking Universität"",""ja"":""北京大学"",""ko"":""북경대학"",""pt"":""Universidade de Pequim""}","{""ISNI"":""0000 0001 2256 9319"",""FundRef"":""501100004791"",""OrgRef"":""30863328"",""Wikidata"":""Q16952""}",http://www.pku.edu.cn,http://en.wikipedia.org/wiki/Peking_University
39,Voronezh State Academy of Arts,,,http://www.artacademy.vrn.ru,http://ru.wikipedia.org/wiki/Воронежская_государственная_академия_искусств
40,Shenzhen University,"{""zh"":""深圳大学""}","{""ISNI"":""0000 0001 0472 9649"",""OrgRef"":""3804886"",""Wikidata"":""Q1945756""}",http://www.szu.edu.cn,http://en.wikipedia.org/wiki/Shenzhen_University
41,Voronezh State University,"{""ru"":""Воронежский государственный университет""}","{""ISNI"":""0000 0001 1013 9370"",""OrgRef"":""489778"",""Wikidata"":""Q1807470""}",http://www.vsu.ru,http://en.wikipedia.org/wiki/Voronezh_State_University
42,Guangzhou University,"{""zh"":""广州大学""}","{""ISNI"":""0000 0001 0067 3588"",""OrgRef"":""1855578"",""Wikidata"":""Q5613747""}",http://www.gzhu.edu.cn,http://en.wikipedia.org/wiki/Guangzhou_University
